Protein_ID,ASA_Bigram
O33635,4330.956208314591
O32271,1535.9050854422296
P68782,3110.4869701295233
Q53728,1864.0108081575245
Q6YP15,2419.9948251967494
Q04664,2955.316162391289
P12012,1509.0409578948313
P21625,3658.9056771567793
Q9L4Q8,1979.9594086202294
O32885,3556.8516300051456
P19580,2649.3145253489474
Q06852,6633.569518986367
P0A4N1,2562.0010823043262
Q93M42,2076.4043199733865
A6QG59,5682.910752457041
Q10765,1577.5803265189895
P96501,3119.1735395329342
O53077,2947.814211788437
Q9AGY7,1938.8451597442267
P42432,2621.7352163892956
P0A5Q2,2935.1478973885087
P24012,3038.9407295382293
Q828D2,5909.514471583029
P28628,3936.27048719024
P39043,1893.6933356133795
P34956,2141.8035101434366
Q2QBT0,6410.0902355102135
P12921,2423.5833891770426
P65565,4984.741257304727
P39597,2916.149894222633
P22821,3105.0452836820637
P0A0I7,2297.836073274408
P59934,1500.3121290224897
P33247,1523.6900831699745
P37948,2268.1955488968265
Q05044,2270.0602419711263
O08362,2046.488062552242
Q2G1N7,3253.6714810769013
P0A609,2653.532386541894
P21938,1520.8623484609784
Q8EWP5,3004.952423928568
Q9CJ45,2163.526797613973
P29141,2401.1626058939937
P42086,1805.764004756217
P40875,1509.4730440216008
Q4A5X2,2595.641989398834
P16400,2521.3578129314437
P45702,1673.7598790927432
Q45070,1636.399496974125
P35596,2041.2680822202126
P36921,2920.291417998361
P12667,4227.4969235047
P27623,2424.787635233022
P63713,1803.2721191755313
Q8Y960,4739.487606495259
P39804,4182.5922590412965
Q08429,4062.2668664328935
P42252,3388.8905734673626
P81594,2184.18251996077
Q7A338,1752.260838738015
P11018,1693.2124504350836
P54544,3291.9050431873347
P35804,1998.9348867352096
P11959,1649.2480482400422
Q9LAB5,2982.4247117972495
P46815,6929.4804958987515
P11540,3145.250011640314
Q03Q83,2052.287534014964
P09333,2388.325240082894
Q08788,2143.1646195186395
Q8NNK5,3346.5867125998157
O30417,2734.7626417212928
P15917,2745.551424963531
P37552,2854.933784164869
P0A5B7,3764.304111279075
Q05523,2451.190490333021
P39755,1831.6650630618537
A9Q0M7,4813.393219569576
P59076,2056.6578214943993
P27580,2416.738336244834
O52866,1374.0865546224707
P95246,1696.4838007911878
P20166,2171.4847625331995
O66043,2376.887533567025
P23453,2686.9053301081826
Q5FKI4,2319.7845021771977
P35594,2659.1163287801064
Q45066,2377.576861410124
P00512,1537.0128966046514
P24301,3708.13486127197
P19080,3656.82405349477
O05724,2856.67207300843
Q02113,1949.2326983497665
P01552,3617.016516646735
P33251,4041.2277160413846
Q97R46,2044.3415872480723
O34894,3699.2411228846427
P23532,2574.181182650597
P65563,5733.425825947319
Q8NNK2,4529.622769655838
Q08002,3031.128680233666
O34853,3103.2968087830955
O34310,2905.088233694207
P39793,4880.9542690373855
Q9F0R1,4277.4989101128
A2RMA8,2242.6294539873675
Q9CD58,4263.0283236706355
P0C0H0,2871.979959823974
P43163,2296.969194194965
P46033,1787.065628765546
P56220,2302.9290467366914
P54423,2886.177093983297
P04957,2440.5638272644333
P37386,2230.066048576475
Q9X895,2446.4838602369896
P54146,1851.8487051879522
Q9AGJ6,1652.1253765237789
Q4JVH7,1651.5521860772142
Q04942,2595.2416962455477
P54422,2066.1012085036127
Q59112,1872.5625360630652
P39802,4262.631733675679
P29422,2411.0664409896144
P37608,2807.181938218215
P75361,3373.319832656505
P00649,3293.7566469291983
P46807,1545.186934257256
P0A5L8,2121.692913886752
P22629,2491.1810550618125
O33654,1806.712833004347
Q9K6W0,3278.9425297361854
P08954,2270.6189629596706
Q79VE8,2968.3038067744938
Q9RLV9,2298.6709061364127
P35155,2755.192847644601
Q7TWW7,1829.0479793799805
Q03424,2098.39866759596
P42450,2150.5686425390877
P39790,3278.1702874093303
P50849,2211.7934228662334
P39141,1982.7999457278045
P0A618,3127.769871537427
Q02114,1618.2861038613291
Q8G864,1871.8602747032396
P54178,2888.0443135427645
P25959,5569.74419054476
P43439,2729.2703473225833
P45706,3222.4264036088925
P25958,3237.9360263748667
P40859,1687.06466108147
Q8G4V2,1735.8130620223758
O31652,3075.3317910343
Q59111,1838.7687923901951
Q5HKQ0,3163.384252496612
P0C0I6,3524.2990134639754
P96614,3463.6869929522627
P35829,2559.82132803964
P55111,1690.5864079218397
P54582,2850.6839786647406
P35154,4145.374626938559
Q45882,1877.8846806467902
P29958,1568.871249839316
O31097,2220.8458880811772
Q79VE9,2981.934809696533
P45855,1481.9003147648593
P65561,3237.1624579474014
P0C1U8,4113.577288926257
P45870,7616.996015636606
O86963,2200.922609874417
P17893,3060.5685423394225
Q2FV54,3051.956043337379
P0A5T0,2441.2922276637782
P35165,3655.171013920061
Q97EB7,3030.031312441119
P60158,2274.453647043236
Q11010,1946.141494942752
P75409,2065.1041223559646
P80696,3771.4940014715953
P39603,6234.93179265003
Q5HKP9,8955.259680119429
P32959,1994.7815533118946
P0C0P9,2148.6109593411006
P29148,2230.321881435015
P06632,1601.6720327087992
P20805,1812.3633453854725
Q8EUR6,2431.971428077514
Q55242,4168.104277178879
P53627,3654.123032983971
P77949,2192.9468130810646
Q82K53,6137.846036423967
A6QIG7,4063.4759085128057
Q8GFE2,3097.4468843328655
Q93QY7,2339.15738746979
P15698,2046.8217847683902
Q04959,7305.355099015839
Q08352,1758.001544589278
Q55055,2995.3013240166065
P22222,1891.8791141492807
Q2NJZ2,2520.5930946669937
Q02VB0,2079.4395527909737
P54559,1943.4554373122644
P80734,3326.899824551526
P07883,2095.721770365418
P54571,2070.3404513620712
P35825,2309.250109644077
Q6TYB1,3420.142937752845
P00691,1938.7525993194768
P09879,3157.824491588671
P29767,1991.038757449567
Q59280,1596.6602703872504
P30234,1367.3660829204896
O32221,3449.3228872617065
Q53778,2033.910314073504
Q02251,1284.9819022020693
P46349,2925.7760093933884
P39774,2184.342651019682
Q2SS99,2450.776430006337
P35166,3835.0590383571016
Q53591,2278.2476434991468
Q2RKV6,2604.0740905667485
P00644,5334.407077528172
P50846,1659.0124450949502
P38536,1810.6156661388018
P30195,2088.340712890338
P33113,4154.294086684868
Q9L523,3335.8503415957134
P12876,4745.304750546318
P50847,2033.8865173255876
Q2FZL3,3321.3046266650304
P37957,2184.6246711416743
P06546,2536.182646399722
P0A574,1460.6617454671966
P13375,1752.9700752781762
Q56198,1555.8091834573322
P38645,1669.763685262807
P39215,3455.5755329504414
P0A564,4133.459390983468
Q93PS3,1544.2353859847685
P32397,1972.558120801338
A0JSV8,1725.8140457617978
P50738,2755.6530900967273
P47481,2361.958537569902
P0C2S1,1904.5801342572174
P33116,2867.4456790343356
P30345,6170.580814880517
P12669,3203.111660413548
P25953,2377.029319055842
Q59331,1834.6634488375887
P16397,2712.103723197116
Q98R33,2208.9498536349906
Q9X3P3,2042.0953017726952
P23648,2580.84794857796
Q831U3,2187.937800508063
Q9KWG2,1738.507368925757
P0C0J0,1791.9731711765637
P10335,5709.671694203046
P60611,2206.6323832030757
P32396,2140.810099395094
P17670,2479.1282028777564
P29761,1699.7239730658964
P39570,2514.772242700041
P35160,3732.8733494976564
P31306,2485.584324341515
P22346,2100.750381984982
P11001,2483.6196643704234
Q03377,3132.1126848462777
Q83GS8,1994.9637773826082
Q08430,2341.9109891146863
Q10900,1525.9342767549942
P33673,3060.1887237175633
P07515,2931.373108661486
P0A4D8,3575.25579441273
O50515,2559.2260812278237
P0A4G4,2402.3213201242356
Q45068,2637.6905987783866
P56968,2321.9951958303127
O33702,3546.6852804521764
A6QIG2,3016.6679365422424
P41019,1700.8161743615383
P26900,1850.487244485959
Q59118,2033.2000138248793
P16169,1908.357041014068
Q5FIJ4,3143.9385537367225
Q45479,4023.91345962291
P36497,2325.718479619943
P46831,1872.5816795443068
P00469,2103.050452903589
P47722,1996.7786734959936
P0A566,7518.634337596549
Q83GH3,1831.1690052442912
P22637,1597.4525383396424
P40943,2200.5159768109106
O31760,1991.0342110337238
Q8VL79,4776.026064358253
P11701,3684.2447429322515
P46922,2195.648395786884
P0A312,4499.186097746239
P45741,2059.729063841743
P0A3G5,4854.566482520286
P22094,2084.3036801257285
P82593,1603.7141751104114
Q8G4D8,1890.8654105103299
Q01467,3461.785020619705
Q9KWM4,5851.143429641172
O07628,5205.217272850551
Q8XMP3,2485.8457156178292
P50012,3013.118478241293
P28618,2216.093309882389
P0A5S6,2079.787604587493
P0A5I8,2709.4569993447158
P50589,2321.0866981444206
P26379,2961.7815273727515
O31749,2139.658617924791
O32242,3787.3142663146527
P72058,1901.1815037974857
Q5HJF4,1865.558607861593
P00343,2027.5871984788482
P09401,1891.616048822146
A5H1G9,3122.4358784694864
P39071,1736.1900557295153
P11931,2182.319939180275
Q8G7W9,2502.251615366424
P0A5P8,1964.6604653954714
O32083,3890.8141053231234
P0A0A5,2367.9634537557404
O53441,1477.812094388578
Q0TV31,2047.3777930069114
P46921,2750.68873210097
P46712,1267.9916888345415
P40411,2635.4000275857384
O53079,1716.533581431017
P43440,2386.4779113548875
P81715,1685.412731193054
P08656,5679.604902667368
O53078,1672.0261596288547
Q50367,2944.257295501242
P36948,2439.145756554163
P15363,2236.487114825181
Q01464,2002.7153940980359
P43131,2620.186770942441
P46713,1448.0802070761351
P19571,1575.9007131529222
Q48919,7759.782642845522
O68575,2110.1626011533785
P0A3S3,3624.7163498457057
P0A2X4,2124.407032109117
P09616,2550.6518349648413
Q08291,2283.293333969655
P20910,2542.337234934116
P34959,6646.140541940909
Q9Z4P6,2570.1116894855104
Q6YPH3,2279.4105951198803
P34024,2566.6506636779836
P45829,3507.519158988036
Q04FF6,1709.2073239751667
P34020,1315.0085609304901
P81102,2745.1461720452617
A5HZZ9,1986.3090325905725
P07373,2502.80125189521
P42175,1825.359780771504
P71756,1351.1028946000652
P68575,4413.429829081313
P22326,2264.19581756835
P26829,2063.0729660047487
P46105,2425.912723578865
P55179,1984.0716180470993
P06535,3213.8487051420398
P37105,2542.1229755950185
P39128,2641.123205153555
P38578,4284.450035868373
P82594,2266.4986895581997
O34742,3066.9585401787285
P42983,3132.2596190666463
Q9ZN78,4582.184160504883
P54104,1882.198688206521
P42014,1942.1734368410746
P13267,2035.447450713581
Q9EYW6,2999.9561256474467
P20487,8781.497593998241
Q6E3K9,2499.3148175729993
P0A670,2829.9178884923645
Q2FWV6,4747.003381151808
O32130,1933.7606856497896
P39129,2166.3225331837193
P10424,2334.283605910663
O06493,1858.674312496043
P59959,2191.079743014928
Q9KJT6,2088.294259340324
P26380,2304.6808320286455
Q07428,3247.50865391047
P0A512,2229.9594857832403
Q9Z4Q7,2046.8130105976147
Q03VA1,3389.708859041727
A6QH29,13556.244350674535
Q7NAT8,2273.3779372228473
Q46338,1916.1917941007955
P81101,3630.1914836575356
Q8RP81,1642.553594583825
Q07833,2507.5290522997047
O07002,1931.9847126610377
P50002,1778.6020901884433
P54264,2184.09261792459
Q44856,3266.406705571368
P0A672,2412.22576825956
Q59634,1659.569446851249
P32081,4199.9862523738675
Q9ZBM2,3405.670093040534
P38037,5190.753025574153
A1R7K6,2002.5571466614806
P26235,1976.7470429294442
P0A4L0,4127.07380236735
Q10744,2150.822821588615
Q3AB78,2939.2021563351445
P0A4Y0,2681.913245427956
P10547,5599.426015538322
P47437,2003.6473904445754
P39843,2285.8011450100407
P39116,2058.5529536107715
O34344,2956.5675053366235
O69282,2031.3234771939633
P49022,2591.5578755714805
P45618,2470.6889816672756
P42177,3404.4632508658233
P46339,3183.647528886736
P14319,4009.729890152174
P81100,2314.312892139386
Q09T02,4327.268852498715
